abandon,"vt.放弃,遗弃;n.放任,狂热"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结;n.集会"
range,"n.山脉,行列,范围,射程;vt.排列,归类于,使并列,放牧;vi.平行,延伸,漫游"
rank,"n.等级,横列,阶级;adj.繁茂的,恶臭的,讨厌的,下流的;vt.排列,归类于,把...分等;vi.列为,列队;n.[数]秩"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的;adv.非常"
rarely,"adv.很少地,罕有地"
rat,n.老鼠
rate,"n.比率,速度,等级,价格,费用;vt.估价,认为,鉴定等级,责骂;vi.被评价,责骂"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
rational,"adj.理性的,合理的,推理的;n.[数]有理数"
raw,"n.生肉,擦伤处,身上的痛处;adj.未加工的,生疏的,处于自然状态的,不掺水的,擦掉皮的,阴冷的,刺痛的;vt.擦伤"
react,"vi.起反应,起作用,反抗,起反作用"
reaction,"n.反应,反作用,反动(力)"
readily,"adv.乐意地,欣然,容易地"
realistic,adj.现实(主义)的
reality,"n.真实,事实,本体,逼真"
realm,n.领域
rear,"n.后面,背后,后方,屁股;adj.后面的,背面的,后方的;vt.培养,饲养,举起,树立,栽种;vi.高耸,暴跳,用后腿站起"
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
rebel,"n.造反者,叛逆者,反抗者,叛乱者;adj.造反的,叛逆的,反抗的;v.造反,反叛,反抗,叛乱"
recall,"vt.回忆,回想,记起,取消;n.召回"
receipt,"n.收条,收据,收到;v.收到"
receiver,"n.接受者,接收器,收信机"
recently,adv.最近
reception,"n.接待,招待会,接收"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
reckon,"vt.计算,总计,估计,猜想;vi.数,计算,估计,依赖,料想"
recognition,"n.赞誉,承认,重视,公认,赏识,识别"
recognize,"vt.认可,承认,公认,赏识;vi.具结"
scholarship,"n.奖学金,学问,学识"
scientific,adj.科学的
scissors,n.剪刀
scold,"v.责骂,申斥,斥责"
scope,"n.(活动)范围,机会,余地"
score,"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线;vt.把...记下,刻划,划线,获得,评价;vi.记分,刻痕,得分"
scout,"n.侦察,搜索,侦察员,侦察机;vi.守候,侦察,巡视,嘲笑;vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)"
scrape,"n.刮,擦,擦痕,刮擦声,困境;vi.刮掉,擦掉,刮出刺耳声;vt.刮,擦,擦伤,挖成"
scratch,"n.乱写,刮擦声,抓痕,擦伤;vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出;vi.发刮擦声,搔,抓;adj.打草稿用的,凑合的"
scream,"v.尖声叫,尖声喊叫;n.尖叫声,喊叫声"
screen,"n.屏,银幕,筛子,掩蔽物,屏风;vt.掩蔽,包庇,放映,拍摄,筛;vi.拍电影"
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼;vt.调节,旋,加强,压榨,强迫,鼓舞;vi.转动,旋,拧"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
seal,"n.封铅,封条,印,图章,密封;vt.封,密封;n.海豹,海豹毛皮"
secondary,"adj.次要的,二级的,中级的,第二的"
section,"n.部分,断片,部件,节,项,区,地域,截面"
sector,"n.部分,部门,[计]扇区,地区,象限,扇形;v.使分成部分,把...分成扇形"
secure,"adj.安全的,可靠的,放心的,无虑的;v.保护"
security,n.安全
segment,"n.段,节,片断;v.分割"
select,"vt.选择,挑选;adj.精选的"
selection,"n.选择,挑选,选集,精选品"
selfish,adj.自私的
semester,n.学期
semiconductor,n.[物]半导体
seminar,"n.研究会,讨论发表会"
senate,"n.参议院,上院"
senator,"n.参议员,(大学的)评议员,(古罗马的)元老院议员"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
sensible,"adj.有感觉的,明智的,有判断力的"
sensitive,"adj.敏感的,灵敏的,感光的"
sequence,"n.次序,顺序,序列"
series,"n.连续,系列,丛书,级数"
session,"n.会议,开庭"
setting,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
settle,"n.有背的长凳;vt.安放,使定居,安排,解决,决定,整理,支付,使平静;vi.安家,定居,停留,下陷,沉淀,决定,澄清"
settlement,"n.沉降,解决,结算,殖民,殖民地"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
sew,"v.缝制,缝纫,缝合"
sexual,"adj.性的,性别的,[生]有性的"
shallow,"adj.浅的,浅薄的"
shave,"v.剃,刮,削刮;vt.刨,削;n.刮脸"
shed,"vt.流出,发散,散发,脱落,脱皮,摆脱;n.分水岭,棚,小屋,工棚,货棚;v.把...放入棚内,流下"
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的;vi.避开,躲避,偏航;vt.使避开,使偏航;adv.完全,全然,峻峭;n.偏航"
shell,"n.贝壳,壳,外形,炮弹;vt.去壳,脱落,炮轰;vi.剥落,脱壳;[计]设定命令行解释器的位置"
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体;v.掩蔽,躲避"
shield,"n.防护物,护罩,盾,盾状物;vt.(from)保护,防护;v.遮蔽"
shift,"n.移动,轮班,移位,变化,办法,手段;vt.替换,转移,改变,移转,推卸,变速;vi.转换,移动,转变,推托,变速"
shiver,"v.颤抖,打碎,碎裂;n.(无法控制的)颤抖,碎片"
shortage,"n.不足,缺乏"
shortcoming,"n.缺点,短处"
shortly,"adv.立刻,不久,简略地,简言之,即刻"
shrink,"v.收缩,(使)皱缩,缩短"
shrug,n.耸肩;v.耸肩
sideways,"adv.向一旁,向侧面地,斜地里;adj.一旁的,向侧面的"
sigh,"n.叹息,叹息声;vi.叹息,叹气"
sightseeing,n.观光
signal,"n.信号;adj.信号的;v.发信号,用信号通知"
signature,"n.签名,署名,信号"
significance,"n.意义,重要性"
significant,"adj.有意义的,重大的,重要的"
similar,"adj.相似的,类似的"
similarly,"adv.同样地,类似于"
simplicity,"n.简单,简易,朴素,直率"
simplify,"vt.单一化,简单化"
sin,"n.[俗]违背习俗,不合情理之事,过失,罪过,[数学]正弦函数"
sincere,"adj.诚挚的,真实的,真诚的"
single,"adj.单一的,单身的,单纯的,孤独的,专一的,个别的;n.一个,单打,单精度型;vt.选出;vi.[棒]作一垒打"
singular,"n.单数;adj.单一的,非凡的,异常的,持异议的"
site,"n.地点,场所,遗址;vt.定...的地点;n.站点"
sketch,"n.略图,草图,概略,梗概,草图,拟定;vi.绘略图,素描;v.勾画"
skilled,adj.熟练的
skillful,"adj.灵巧的,熟练的,制作精巧的"
skim,v.撇去
slam,"v.砰地关上,砰地放下,猛力抨击,冲击;n.砰,猛击,撞击,冲击"
slap,"vt.拍,掌击,拍击;n.拍,掌击,拍击"
sleeve,n.袖子
slender,"adj.苗条的,微薄的,微弱的"
slice,"n.薄片,切片,一份,部分,片段;v.切(片)"
slide,"v.(使)滑动,(使)滑行;n.滑,滑动,幻灯片"
slight,"adj.轻微的,微小的"
synthetic,"adj.合成的,人造的,综合的"
system,"n.系统,体系,制度,体制,秩序,规律,方法"
systematic(al),"adj.组织性的,系统的"
tackle,"n.工具,复滑车,滑车,辘轱,用具,装备,扭倒;vt.固定,应付(难事等),处理,解决,抓住;vi.捉住,扭住,扭倒"
tag,"n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语;vt.加标签于,紧随,添饰,起浑名,连接;vi.紧随"
talent,"n.天才,才干,才能"
tame,"adj.(指动物)驯服的,柔顺的,(指人)没精打彩的,顺从的,被开垦的,沉闷的,乏味的,平淡的;vt.驯养,驯服,制服,使变得平淡;vi.变得驯服"
target,"n.目标,对象,靶子"
tax,"n.税,税款,税金;vt.对...征税,使负重担,指控,责备"
technician,"n.技术员,技师"
technique,"n.技术,技巧,方法,表演法,手法"
technology,"n.工艺,科技,技术"
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
teenager,n.十几岁的青少年
telescope,n.望远镜;v.压缩
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向;v.(冶金)回火、锻炼,调和,调节"
temple,"n.庙,寺,神殿,教堂,礼拜堂,太阳穴,鬓角"
temporary,"adj.暂时的,临时的,临时性"
temptation,"n.诱惑,诱惑物"
tend,"vi.趋向,往往是;vt.照管,护理"
tendency,"n.趋向,倾向"
tender,"adj.嫩的,温柔的,软弱的"
tense,"adj.紧张的,拉紧的;v.(使)紧张,(使)拉紧;n.[语法]时态"
tension,"n.紧张(状态),不安,拉紧,压力,张力,牵力,电压;vt.拉紧,使紧张"
terminal,"n.终点站,终端,接线端;adj.末期,每期的,每学期的"
territory,"n.领土,版图,地域"
terror,"n.恐怖,可怕的人,恐怖时期,恐怖行动"
textile,n.纺织品;adj.纺织的
theme,"n.(谈话,写作等的)题目,主题,学生的作文,作文题,[音乐]主题,主题曲,主旋律"
theoretical,理论的
theory,"n.理论,学说,...论,原理,意见,推测"
therapy,n.治疗
thereby,"adv.因此,从而,在那方面,在那附近"
therefore,"adv.因此,所以"
thermometer,"n.温度计,体温计"
thick,"adj.厚的,粗的,稠的,浓的;n.最拥挤部份,活动最多部份,事物的粗大浓密部份"
thinking,n.思想
thirsty,"adj.口渴的,渴望的,热望的"
thorough,"adj.十分的,彻底的"
thoughtful,"adj.深思的,有思想性的,体贴的,关切的"
threat,"n.恐吓,凶兆,威胁"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
throat,"n.咽喉,喉咙,嗓音,窄路,口子;vt.用喉音说,开沟于"
thrust,"n.插,戳,刺,推力,猛推,口头攻击;vt.力推,冲,插入,挤进,刺,戳,强加,延伸;vi.插入,刺,戳,延伸,强行推进"
thumb,"n.拇指;vt.以拇指拨弄,笨拙处理,弄坏,翻阅,作搭车手势;vi.用拇指翻书页"
thunder,"n.雷,雷声,轰隆声;vi.打雷,雷鸣"
tide,"n.潮,潮汐,潮流,趋势"
tidy,"n.椅子的背罩,装杂碎的容器;adj.整齐的,整洁的,精简的;vt.弄整齐,收拾,整理;vi.整理,收拾;adj.<口>可观的,相当大的"
timber,"n.木材,木料"
tissue,"n.薄的纱织品,薄纸,棉纸,[生]组织,连篇"
title,"n.头衔,名称,标题,冠军,资格,字幕,权利,扉页;vt.赋予头衔,加标题于;adj.标题的,用作书名的"
toast,"n.烤面包(片),吐司面包,干杯;vt.敬酒,烤(面包等),使暖和;vi.烤暖,烤火,烘"
tolerance,"n.公差,宽容,忍受,容忍,(食物中残存杀虫剂的)(法定)容许量;vt.给(机器部件等)规定公差"
tolerate,"vt.忍受,容忍"
tone,"n.音调,音质,语调,色调,状况,品质,语气,气氛;vt.调和,增强,以特殊腔调说,配合,定音调;vi.颜色调和"
topic,"n.话题,主题"
torch,"n.火把,启发之物;vi.像火炬一样燃烧;vt.用火炬点燃"
torture,"n.折磨,痛苦,拷问,拷打;vt.拷问,曲解,折磨,使弯曲"
tough,"n.恶棍;adj.强硬的,艰苦的,坚强的,坚韧的,强壮的,吃苦耐劳的,凶恶的,粗暴的;adv.<口>强硬地,顽强地;vt.<美口>忍受,耐,坚持"
tour,"n.旅行,游历,旅游;v.旅行,游历,巡回,漫游"
towel,"n.手巾,毛巾;v.用毛巾擦"
trace,"n.痕迹,踪迹,微量,迹线,缰绳;vt.描绘,映描,画轮廓,追踪,回溯,探索;vi.上溯,沿路走"
tractor,n.拖拉机
tradition,"n.传统,惯例"
tragedy,"n.悲剧,惨案,悲惨,灾难"
trail,"n.踪迹,痕迹,形迹;vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让;vt.转移,调转,调任,传递,转让,改变;vi.转移,转学,换车"
transform,"vt.转换,改变,改造,使...变形;vi.改变,转化,变换;n.[数]变换(式),[语]转换"
translation,"n.翻译,译文,转化,调任,转换[物][数]平移"
transmission,"n.播送,发射,传动,传送,传输,转播"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播;vi.发射信号,发报"
transparent,"adj.透明的,显然的,明晰的"
transport,"n.传送器,运输,运输机,激动,流放犯,狂喜;vt.传送,运输,流放,放逐"
transportation,"n.运输,运送"
trap,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车;vi.设圈套,设陷阱;vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
trash,"n.无价值之物,无聊的作品,垃圾,废物"
tray,"n.盘,碟,盘子"
treatment,"n.待遇,对待,处理,治疗"
treaty,"n.条约,谈判"
tremble,"n.战栗,颤抖;vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑;vt.挥动,用颤抖的声音说出"
wrist,"n.手腕,腕关节"
writer,"n.作者,作家,复写器"
writing,"n.笔迹,作品,著述"
X-ray,X-raysX光，X射线
yawn,"v.打呵欠,张开,裂开;n.呵欠"
yearly,adj.每年的;adv.每年
yield,"v.出产,生长,生产;vi.(～to)屈服,屈从;n.产量,收益"
youngster,"n.年青人,少年"
zone,"n.地域,地带,地区,环带,圈;vt.环绕,使分成地带;vi.分成区"
abundance,"n.丰富,充裕,丰富充裕"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
aerial,"adj.航空的,生活在空气中的,空气的,高耸的;n.天线"
aisle,"n.走廊,过道"
ambitious,"adj.有雄心的,野心勃勃的"
applaud,"v.拍手喝彩,称赞,赞同"
appraisal,"n.评价,估价(尤指估价财产,以便征税),鉴定"
auction,n.拍卖;vt.拍卖
aviation,"n.飞行,航空,航空学,航空术"
bachelor,"n.单身汉,文理学士,幼雄兽"
baffle,"vt.困惑,阻碍,为难"
ballet,"n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲"
beforehand,adv.预先
breakthrough,n.突破
briefcase,"n.(扁平的,柔韧的,装文件,书报的)公文包"
brutal,"adj.残忍的,兽性的"
calorie,n.卡路里
casualty,n.伤亡
census,n.人口普查
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
cognitive,"adj.认知的,认识的,有感知的"
commonplace,"n.平凡的事,平常话;adj.平凡的"
compensate,"v.偿还,补偿,付报酬"
concise,"adj.简明的,简练的"
conform,"vt.使一致,使遵守,使顺从;vi.符合,相似,适应环境;adj.一致的,顺从的"
consequent,"adj.作为结果的,随之发生的"
console,"vt.安慰,藉慰;n.[计]控制台"
continuity,"n.连续性,连贯性"
cooperative,"adj.合作的,协力的"
corporate,"adj.社团的,法人的,共同的,全体的"
costume,"n.装束,服装"
courtesy,"n.谦恭,允许,礼貌"
coverage,n.覆盖
creation,"n.创造,创作物"
cumulative,adj.累积的
deadly,"adj.致命的,势不两立的,死一般的,极度的,必定的"
decisive,adj.决定性的
defiance,"n.挑战,蔑视,挑衅"
deficiency,"n.缺乏,不足"
destructive,adj.破坏(性)的
diligent,"adj.勤勉的,用功的,细心而继续不断的"
disastrous,"adj.损失惨重的,悲伤的"
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的;n.牧师"
dock,"n.<美>码头,船坞,被告席,尾巴的骨肉部分;vt.靠码头,引入坞,剪短;vi.入船坞"
endurance,"n.忍耐(力),持久(力),耐久(性)"
energetic,"adj.精力充沛的,积极的"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
enthusiastic,"adj.热心的,热情的"
erosion,"n.腐蚀,侵蚀"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
ethnic,"adj.人种的,种族的,异教徒的"
expedition,"n.远征,探险队,迅速,派遣"
fake,"n.假货,欺骗;adj.假的;vt.伪造,赝造,捏造,假造,仿造;vi.伪装"
fitting,"adj.适合的,相称的,适宜的;n.试穿,试衣,装配,装置"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风;vt.使破裂,使有缺陷,使无效;vi.生裂缝,变的有缺陷"
foster,"vt.养育,抚育,培养,鼓励,抱(希望);n.养育者,鼓励者"
grim,adj.严酷的
heighten,"v.提高,升高"
heir,"n.继承人,后嗣"
heritage,"n.遗产,继承权,传统"
hum,"v.嗡嗡叫,哼;n.嗡嗡声,吵杂声"
humanity,"n.人性,人类,博爱,仁慈"
hurricane,"n.飓风,狂风"
identification,"n.辨认,鉴定,证明,视为同一"
illusion,n.幻想
imaginative,"adj.想象的,虚构的"
imitation,"n.模仿,效法,冒充,赝品,仿造物"
imperative,"n.命令,诫命,需要,规则,祈使语气;adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
indicative,"adj.(～of)指示的,预示的,可表示的"
induce,"vt.劝诱,促使,导致,引起,感应"
inland,"adj.内陆的,国内的;adv.在内地,向内地;n.内地"
instrumental,"adj.仪器的,器械的,乐器的"
assign,"vt.分配,指派;v.赋值;[计]将驱动器符重定向至第二个驱动器符"
assignment,"n.分配,委派,任务,(课外)作业"
assist,"v.援助,帮助"
assistance,"n.协助,援助,补助,<英>国家补助"
assistant,"n.助手,助教;adj.辅助的,助理的"
associate,"vt.使发生联系,使联合;vi.交往,结交;n.合作人,同事;adj.副的"
association,"n.协会,联合,结交,联想"
assume,"vt.假定,设想,采取,呈现"
assumption,"n.假定,设想,担任,承当,假装,作态"
assure,"vt.断然地说,确告,保证,担保"
astonish,vt.使惊讶
athlete,"n.运动员,运动选手"
atmosphere,"n.大气,空气,气氛"
atomic,"adj.原子的,原子能的,微粒子的"
attach,"vt.缚上,系上,贴上;v.配属,隶属于"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭;vt.攻击,抨击,动手处理(某事);vi.攻击"
attain,"vt.达到,获得;v.达到"
attempt,"n.努力,尝试,企图;vt.尝试,企图"
attitude,"n.姿势,态度,看法,意见"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
attract,"vt.吸引;vi.有吸引力,引起注意"
attraction,"n.吸引,吸引力,吸引人的事物"
attractive,"adj.吸引人的,有魅力的"
attribute,"n.属性,品质,特征,加于,归结于"
audience,"n.听众,观众,接见,拜见"
audio,"adj.音频的,声频的,声音的"
author,"n.作家,创造者"
authority,"\n.权威,威信,权威人士,权力,职权,典据,著作权威"
auto,n.<美口>汽车
automatic,"n.自动机械;adj.自动的,无意识的,机械的"
automobile,"n.<主美>汽车(=<英>motorcar,car)"
auxiliary,"adj.辅助的,补助的"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
avenue,"n.林荫道,大街,方法,途径,路"
average,"n.平均,平均水平,平均数,海损;adj.一般的,通常的,平均的;vt.平均为,均分,使平衡,达到平均水平;vi.买进,卖出"
avoid,"vt.避免,消除"
await,vt.等候
award,"n.奖,奖品;vt.授予,判给"
aware,"adj.知道的,明白的,意识到的"
awful,"adj.可怕的,威严的,<口>极度的,糟糕的"
awkward,"adj.难使用的,笨拙的"
ax,n.斧头;vt.削减
background,"n.背景,后台,不重要或不引人注目的地方或位置"
backward,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
bacon,"n.咸肉,熏肉"
bacteria,n.细菌
baggage,"n.行李,[军]辎重"
bake,"v.烘焙,烤,烧硬"
balance,"n.秤,天平,平衡,[商]收支差额,结余,余额;v.平衡,称,权衡,对比,结算;n.资产平稳表"
balcony,"n.阳台,包厢,(戏院)楼厅"
balloon,n.气球
ban,"n.禁令;vt.禁止,取缔(书刊等)"
band,"n.带子,镶边,波段,队,乐队;v.联合,结合"
bang,"n.重击,突然巨响;v.发巨响,重击"
bankrupt,"n.破产者;adj.破产了的,完全丧失;vt.使破产"
banner,"n.旗帜,横幅,标语;"
barber,"n.理发员,理发师;vt.为...理发,刮脸等"
bare,"adj.赤裸的,无遮蔽的,空的;vt.使赤裸,露出"
barely,"adv.仅仅,刚刚,几乎不能"
bargain,"n.契约,合同,成交商品,便宜货;v.议价"
bark,"n.树皮,吠声;v.吠,咆哮,剥树皮"
barn,"n.[农]谷仓,畜棚,畜舍,机器房"
barrel,n.桶;vt.装入桶内
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
baseball,"n.棒球,棒球运动"
basically,"adv.基本上,主要地"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
bat,"n.蝙蝠,球棒;v.用球棒击球;[计]批处理文件的扩展名;abbr.[军]BasicArmorTraining,装甲兵基础训练"
bathe,"v.沐浴,洗,(光线)充满;n.洗澡"
battery,"n.电池,殴打"
bay,"n.海湾,狗吠声,绝路;vt.吠,使走投无路;vi.吠"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁;v.播送"
bean,"n.豆,豆形果实"
beard,n.胡须
bearing,"n.轴承,关系,方面,意义,方向,方位"
beast,"n.兽,畜牲,人面兽心的人"
beggar,n.乞丐
behalf,"n.为,利益"
behave,"vi.举动,举止,运转;v.行为表现"
behavior,"n.举止,行为"
being,"n.存在,生命,人,本质;art.在,有,是"
clerk,"n.职员,办事员,<美>店员"
click,v.发出滴答声;n.滴答声
client,"n.[计]顾客,客户,委托人"
cliff,"n.悬崖,绝壁"
climate,"n.气候,风土,思潮"
clue,n.线索
clumsy,adj.笨拙的
coach,"n.四轮大马车,长途汽车,教练;v.训练,指导"
coarse,"adj.粗糙的,粗鄙的；coursen.过程,经过,进程,路线,跑道,课程v.追猎,急行,运行,流动"
coil,"v.盘绕,卷"
collapse,"n.倒塌,崩溃,失败,虚脱;vi.倒塌,崩溃,瓦解,失败,病倒"
colleague,"n.同事,同僚"
collection,"n.收藏,征收,搜集品,捐款"
collective,adj.集体的;n.集体
collision,"n.碰撞,冲突"
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
column,"n.圆柱,柱壮物,专栏,纵队"
comb,"n.梳子,梳,鸡冠,蜂巢;vi.梳(发),搜索"
combat,"n.战斗,格斗;v.战斗,搏斗,抗击"
combination,"n.结合,联合,合并,化合,化合物"
combine,"v.(使)联合,(使)结合;n.联合企业,联合收割机;n.联合收割机"
comedy,"n.喜剧,喜剧性的事情"
command,"n.命令,掌握,司令部;v.命令,指挥,克制,支配,博得,俯临"
commander,"n.司令官,指挥官"
comment,"n.注释,评论,意见;vi.注释,评论"
commerce,n.商业
commercial,"adj.商业的,贸易的"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金;vt.委任,任命,委托,委托制作,使服役"
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
commitment,"n.委托事项,许诺,承担义务"
committee,n.委员会
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
communication,"n.传达,信息,交通,通讯"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
companion,"n.同伴,共事者"
comparable,"adj.可比较的,比得上的"
comparative,"adj.比较的,相当的"
compare,"v.比较,相比,比喻n.比较"
comparison,"n.比较,对照,比喻,比较关系"
compass,"n.罗盘,指南针,圆规;v.包围"
compel,"vt.强迫,迫使"
compete,"vi.比赛,竞争"
competent,"adj.有能力的,胜任的"
competition,"n.竞争,竞赛"
competitive,adj.竞争的
complain,"v.抱怨,悲叹,控诉"
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
complex,"adj.复杂的,合成的,综合的;n.联合体"
complicated,"adj.复杂的,难解的"
component,"n.成分;adj.组成的,构成的"
compose,"v.组成,写作,排字,(使)安定,调解"
compound,"n.混合物,[化]化合物;adj.复合的;v.混合,配合"
comprehension,"n.理解,包含"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
compress,"vt.压缩,摘要叙述;n.(外科)敷布"
comprise,"v.包含,由...组成"
compromise,"n.妥协,折衷;v.妥协,折衷,危及...的安全"
conceal,"vt.隐藏,隐蔽,隐瞒;v.隐蔽"
concede,"vt.勉强,承认,退让;vi.让步"
concentrate,"v.集中,浓缩"
concentration,"n.集中,集合,专心,浓缩,浓度"
concept,"n.观念,概念"
concern,"vt.涉及,关系到;n.(利害)关系,关心,关注,关注,所关心的是"
concerning,prep.关于
concession,n.让步
conclude,"v.结束,终止,决定,作出结论;vt.推断,断定,缔结,议定"
conclusion,"n.结束,缔结,结论"
concrete,"adj.具体的,有形的;n.混凝土;v.用混凝土修筑,浇混凝土,凝结"
condemn,"vt.判刑,处刑,声讨,谴责"
condense,"v.(使)浓缩,精简"
condition,"n.条件,情形,环境,社会地位;vt.以...为条件,使达到要求的情况"
conduct,"n.行为,操行;v.引导,管理,为人,传导"
conductor,"n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长"
conference,"n.会议,讨论会,协商会"
confess,"v.承认,坦白,忏悔"
confidence,n.信心
confident,"adj.自信的,确信的"
confine,"vt.限制,禁闭;n.界限,边界"
confirm,"vt.确定,批准,使巩固,使有效;v.确认,(基督教中)给...行按手礼"
conflict,"n.斗争,冲突;vi.抵触,冲突"
confront,"vt.使面临,对抗"
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物;vt.存放,堆积;vi.沉淀"
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条;v.压下"
depression,"n.沮丧,消沉,低气压,低压"
deputy,"n.代理人,代表"
derive,vt.得自;vi.起源
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访;v.下去"
describe,"vt.描写,记述,形容,形容;v.描述"
deserve,"vt.应受,值得;v.应受"
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要;v.设计,计划,谋划,构思"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
desire,"vt.想望,期望,希望,请求(官方丈礼);n.愿望,心愿,要求;v.要求"
despair,"n.绝望,失望,令人失望的人(事物);vi.绝望"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
despite,"prep.不管,尽管,不论"
dessert,n.餐后甜点
destination,"n.目的地,[计]目的文件,目的单元格"
destruction,"n.破坏,毁灭"
detail,"n.细节,详情;vt.详述,细说"
detect,"vt.察觉,发觉,侦查,探测;v.发现"
detection,"n.察觉,发觉,侦查,探测,发现"
detective,n.侦探;adj.侦探的
determination,"n.决心,果断"
determine,"v.决定,确定,测定,使下定决心,[律]使终止"
device,"n.装置,设计,图案,策略,发明物,设备;[计]安装设备驱动程序"
devil,"n.魔鬼,恶棍"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给;n.遗赠"
devote,"vt.投入于,献身"
diagram,n.图表
dialect,"n.方言,语调"
diameter,n.直径
dictate,"v.口述,口授,使听写,指令,指示,命令,规定;n.指示(指理智,变心)"
dictation,"n.听写,口述"
differ,"vi.不一致,不同"
digest,"n.分类,摘要;vi.消化;vt.消化,融会贯通"
digital,"adj.数字的,数位的,手指的;n.数字,数字式"
dim,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的;vt.使暗淡,使失去光泽;n.<美俚>笨蛋、傻子"
dimension,"n.尺寸,尺度,维(数),度(数),元"
dip,"v.浸,蘸,沾"
diplomatic,"adj.外交的,老练的"
directly,"adv.直接地,立即"
dirt,"n.污垢,泥土"
disappear,"vi.消失,不见"
disaster,"n.灾难,天灾,灾祸"
discard,"vt.丢弃,抛弃;v.放弃"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),射(箭);vi.卸货,流注;n.卸货,流出,放电"
discipline,"n.纪律,学科;v.训练"
discount,n.折扣
discourage,"vt.使气馁,阻碍"
disease,"n.疾病,弊病"
disguise,"v.假装,伪装,掩饰;n.伪装"
disgust,"n.厌恶,嫌恶;vi.令人厌恶,令人反感;vt.使作呕"
dismiss,"vt.解散,下课,开除,解职,使(或让)离开;vi.解散"
disorder,"n.杂乱,混乱,无秩序状态;vt.扰乱,使失调,使紊乱"
display,"vt.陈列,展览,显示;n.陈列,展览,显示,显示,显示器"
disposal,"n.处理,处置,布置,安排,配置,支配"
