whitish,adj. 发白的
sprawl,n. 扩展
limb,n. 肢体
web,n. 网，错综复杂的联系(或关系网)
dissatisfied,adj. 不满意的
reproductively,adv. 生殖上
reintroduction,n. 再引入
gap,n. 空隙，差距
antifreeze,n. 防冻剂
imaging,n. 放射造像，成像
political,adj. 政治的
climatological,adj. 与气候学有关的
reassurance,n. 使安心，再保证
collaborator,n. 合作者
transform,v. 改变
threaten,v. 危及
impersonation,n. 模仿
cult,n. 宗教信仰
plankton,n. 浮游生物
chronologically,adv. 按时间先后地
device,n. 装置，手段
negatively,adv. 负面地
negative,adj. 消极的，负的
adequacy,n. 足够
geothermally,adv. 通过地热
administrator,n. 管理者
jigsaw,n. 拼图
list,v. 罗列
metropolitan,adj. 大都市的
disintegrate,v. 破裂
mercy,n. 仁慈
telescope,n. 望远镜
ghost,n. 鬼，灵魂
cycle,n. 循环
consult,v. 咨询
contemporary,adj. 同时代的，当代的；n. 同时代的人
style,n. 风格，方式；v. 把…设计成某种式样
workspace,n. 工作空间
dissolve,v. 溶解
personality,n. 个性
meticulous,adj. 一丝不苟的
oddly,adv. 怪异地
folding,n. 山丘
diner,n. 小餐馆
archway,n. 拱道，拱门
odor,n. 气味
hectare,n. 公顷
subtropics,n. 亚热带
nebular,adj. 星云的
certify,v. 证明
occupied,adj. 已占用的
runoff,n. 径流量
wastewater,n. 废水
previous,adj. 先前的
unripe,adj. 未成熟的
peaceful,adj. 安静的 ，和平的
multicolored,adj. 多色彩的
session,n. 上课时间
domestication,n. 驯养
involvement,n. 参与
destruction,n. 破坏
participate,v. 参加
fax,v. 用传真联系
tailor,v. 使适应
rack,n. 文件架
fragmented,adj. 断裂的，零零散散的
perspire,v. 流汗，分泌
rental,adj. 租赁的
pragmatic,adj. 实用的
participation,n. 参加
necessitate,v. 使成为必要
lid,n. 盖子
conservation,n. 保护
sustainably,adj. 可持续
overwhelmingly,adv. 压倒性地
incidentally,adv. 偶然地，附带地
compile,v. 编制
trading,n. 贸易
pillar,n. 柱子
astronomical,adj. 天文学的，巨大的
format,n. 样式
realign,n. 重组
wonder,n. 奇妙；v. 思忖
foresightedness,n. 前瞻性
seminar,n. 讨论会
marketable,adj. 有销路的
define,v. 界定，描出…的外形，给...下定义
formidable,adj. 难克服的
insecure,adj. 不安全的
camel,n. 骆驼
align,v. 使...一致
panic,n. 恐慌
reclamation,n. 开垦，收回
expanse,n. 广阔的区域
processing,n. 加工，处理
guarantee,v. 保证；n. 保证
mere,adj. 仅仅的
acrobatics,n. 杂技
falcon,n. 隼
relaxation,n. 消遣
medicinal,adj. 药用的
kangaroo,n. 袋鼠
circa,adv. 大约于
drug,n. 药
dive,v. 潜水
esoteric,adj. 深奥的
sparkling,adj. 发光的
theorist,n. 理论家
source,n. 来源
petal,n. 花瓣
advocate,v. 支持；n. 拥护者
cultivation,n. 耕种
tease,v. 取笑
sphere,n. 球形，领域
orchestra,n. 管弦乐队
prowl,v. 潜行
hydrological,adj. 水文的
globalization,n. 全球化
distress,n. 痛苦
predictable,adj. 可预计的
flight,n. 航班，逃走
enormously,adj. 极其
violet,n. 紫罗兰
noticeable,adj. 明显的，值得注意的
unrealistic,adj. 不切实际的
artwork,n. 艺术品
squirrel,n. 松鼠
segregate,v. 使…分开
plasterwork,n. 石膏装饰图案
intrinsically,adv. 本质上
submit,v. 提交
systematic,adj. 系统的
predicate,v. 断定
regrettably,adv. 遗憾的是
coordination,n. 协调
cosmopolitan,n. 国际性的 ；adj. 宇宙性的
linear,adj. 直线的
entertainment,n. 娱乐
infancy,n. 婴儿期
formalize,v. 正式确定，使变形
marketing,n. 销售，市场
agriculturalist,n. 农场主
mitigate,v. 使缓和
padded,adj. 加垫的
spin,v. 转动
nodule,n. 小瘤
wiring,n. 线路安装
protector,n. 保护者
iceberg,n. 冰山
contrast,v. 对比；n. 差异，明显不同的事物
accommodation,n. 适应，调节
physiologically,adv. 生理学方面
craft,n. 工艺；v. 熟练地制作
precipitation,n. 降水，沉淀
perform,v. 执行，表演
underworld,n. 地下世界
embryo,n. 胚胎，萌芽状态
ethnographic,adj. 人种学的
ingenious,adj. 精巧的，别出心裁的
peak,n. 巅峰 ，山峰，尖顶；adj. 最佳的，最大的；v. 达到最高点
compose,v. 组成 ，创作
elevation,n. 海拔，高地，提升
mystery,n. 神秘事物
jet,n. 喷射流；v. 喷射
alcohol,n. 酒精，酒
manure,n. 粪肥
detection,n. 侦查
knead,v. 揉
accomplish,v. 完成
malnourished,adj. 营养不良的
juxtapose,v. 把…并列
duplicate,v. 复制
exogenous,adj. 外源性的
pollutant,n. 污染物
recreational,adj. 娱乐的
backbone,n. 支柱
advent,n. 出现
elapse,v. 流逝
weaponry,n. 武器
thunder,n. 雷
trustee,n. 受托人
safely,adv. 平安地
comment,v. 评论；n. 评论
embed,v. 把…嵌入
spine,n. 脊柱
boot,n. 靴子
shear,v. 修剪
chlorophyll,n. 叶绿素
opinion,n. 观点
distillation,n. 蒸馏
production,n. 生产，成果，上演
amateur,adj. 业余的
clinically,adv. 以临床方式的
emulate,v. 模仿
expedition,n. 远征队
identifiable,adj. 可辨别的
gossip,n. 流言蜚语；v. 说长道短
individuality,n. 个体特征，个体
funding,n. 资金
resemblance,n. 相似
accounting,n. 会计
elegance,n. 优雅
tapestry,n. 挂毯
valid,adj. 合理的
orient,v. 定位，适应，使朝向
triangular,adj. 三角形的
sexually,adv. 在性方面
likeness,n. 相像
lord,n. 君主
orally,adv. 口头上地
pyramid,n. 金字塔
teammate,n. 队友
apex,n. 顶峰
overhunt,v. 过度捕捉
cite,v. 引用
bind,v. 使结合
tile,n. 瓦片
regulate,v. 调节，管理
unnatural,adj. 不自然的
varnish,n. 亮光漆；v. 装饰
fanwise,adj. 扇形的
habitation,n. 居住
fibrous,adj. 含纤维的
alteration,n. 改变
radiant,adj. 辐射的
alarming,adj. 令人担忧的
alternation,n. 改变
embellish,v. 装饰
nighttime,n. 夜间
discoloration,n. 变色
partially,adv. 部分地
pinch,v. 捏
jungle,n. 热带丛林
lateral,adj. 侧面的，横向的
crooked,adj. 弯曲的
metaphor,n. 比喻，隐喻
website,n. 网站
seal,n. 印章，海豹；v. 把…密封
patron,n. 赞助人，守护者
offend,v. 冒犯
master,n. 雇主，大师，硕士；v. 掌握；adj. 技艺精湛的
type,n. 类型，打字
margin,n. 边缘，幅度
association,n. 联合，协会，友谊
relay,v. 传达
wage,n. 工资
concerned,adj. 不安的
questionable,adj. 有问题的
abstraction,n. 抽象
emigrate,v. 移居国外
rhizome,n. 根茎
elusive,adj. 难捉摸的
innocence,n. 天真
facade,n. 正面
dandelion,n. 蒲公英
living,adj. 活的；n. 生计
bid,v. 出价，竞标
pant,v. 渴望，喘息
diplomat,n. 外交官
reject,v. 拒绝，排斥
neurobiological,adj. 神经生物学的
disparate,adj. 迥然不同的
diversified,adj. 多样化的
whereas,conj.然而
inauthentic,adj. 假的
arrow,n. 箭
fragment,n. 碎片；v. 破碎
carbonization,n. 碳化
adulthood,n. 成年
airflow,n. 气流
morphological,adj. 形态的
unobtainable,adj. 得不到的
regardless,adv. 不管，无论
squeeze,v. 挤
chamber,n. 腔，私室、卧室
hundredfold,adj. 百倍的
speciation,n. 物种形成
hibernate,v. 冬眠
creditor,n. 债权人
interlocked,adj. 联锁的
absorb,v. 吸收
counterproductive,adj. 适得其反的
pinpoint,v. 准确找到，确定；n. 小点
corridor,n. 走廊
cling,v. 紧贴
indoors,adj. 在室内；adv. 往室内
gut,n. 肠
notify,v. 通知
sociologist,n. 社会学家
hierarchy,n. 等级制度，统治集团
fryer,n. 油炸锅
authorship,n. 著作权
typically,adv. 典型地
profoundly,adv. 深刻的，深深的
drastically,adv. 剧烈地
professionally,adv. 专业地，职业地
authoritative,adj. 权威性的
blackish,adj. 发黑的
academic,adj. 学业的，学术的
inadvertently,adv. 不经意地
importance,n. 重要性
roam,v. 漫步
heighten,v. 增强，加高
unsure,adj. 不确知的
mimic,v. 模仿
groundwork,n. 基础工作
automobile,n. 汽车
timberline,n. 林木线
dispose,v. 处理
contradict,v. 与...矛盾
therm,n. 热量
ankle,n. 脚踝
firm,adj. 牢固的，强力的；n. 公司
tax,n. 税；v. 对…征税
legendary,adj. 传奇的
Catholic,adj. 天主教的
spinach,n. 菠菜
paradigmatic,adj. 范例的
colleague,n. 同事
musical,adj. 音乐的；n. 音乐剧
distinct,adj. 不同的，明显的
incinerator,n. 垃圾焚化炉
waxy,adj. 像蜡的
Turkey,n. 土耳其，火鸡
diet,n. 日常饮食
awful,adj. 极其
infusion,n. 注入
feat,n. 功绩
explicitly,adv. 明确地
cessation,n. 停止
maxim,n. 准则
uniformity,n. 一致
distort,v. 扭曲
classicism,n. 古典主义
acoustics,n. 声学，音响效果
usefulness,n. 有用
ambient,adj. 周围的
binder,n. 黏合剂
bulky,adj. 笨重的
program,n. 计划，节目；v. 设定
attraction,n. 吸引力，引力
devotional,adj. 祈祷的
loyally,adv. 忠诚地
sociality,n. 社交
admiration,n. 敬佩
commute,n. 通勤
inconsistent,adj. 不一致的
sublime,adj. 卓越
Martian,adj. 火星的
viable,adj. 能存活的，切实可行的
overthrow,v. 推翻
multiplication,n. 成倍增长
assistance,n. 帮助
religion,n. 宗教
ingest,v. 吸取，咽下
economic,adj. 经济的
nutritious,adj. 有营养的
notification,n. 通知，告示
ethologist,n. 人种学家
agent,n. 因素，剂
monopolize,v. 垄断
impermeable,adj. 不可渗透的
refuge,n. 避难所
spirited,adj. 有…精神的
bookkeeping,n. 簿记
fluid,n. 液体；adj. 流动的
vital,adj. 极其重要的
dislike,v. 不喜欢
bureaucracy,n. 官僚体制
nasty,adj. 令人难受的
illegal,adj. 非法的，犯规的
gratify,v. 使满意
ventilation,n. 空气流通
diagonal,adj. 斜的，对角的
isotope,n. 同位素
dependent,adj. 依靠的
snail,n. 蜗牛
subsequent,adj. 随后的
turnover,n. 人员流动率
press,v. 压，强征…入伍；n. 印刷机，新闻
encroach,v. 侵占
rally,n. 集会；v. 集会
usher,v. 引导
beat,v. 击打，跳动；n. 节奏
positive,adj. 积极的，[照相]正片的，正的
stroke,n. 击
scheduling,adj. 时刻表的
chaos,n. 混乱
precinct,n. 外围
gutter,n. 排水沟
stab,v. 刺
melodious,adj. 悦耳的
construct,v. 建造，构思
crystallize,v. 结晶
deformation,n. 变形
myriad,adj. 无数的
purposely,adv. 故意地
darkened,adj. 黑暗的
finance,v. 为…提供资金；n. 资金
directory,n. 名录簿
digitally,adv. 以数字方式
locomotive,n. 火车头
decay,v. 腐烂，衰落；n. 腐烂，衰减
horticulture,n. 园艺
methodically,adv. 有条不紊地
highlight,v. 强调；n. 最精彩的部分
piracy,n. 海盗行为
perfume,n. 香水
wire,n. 电线；v. 安电线
repopulate,v. 重新住入
rigidity,n. 坚固
ordinance,n. 条例
geologic,adj. 地质的
constipation,n. 便秘
messenger,n. 送信人
elaborately,adv. 精心地，精美地
assist,v. 帮助；n. 助力
case,n. 情况，事例；adv. 以防
toward,prep. 向，接近，对于
bibliography,n. 参考文献
politics,n. 政治
chemist,n. 化学家
provocative,adj. 挑衅的
ruminate,v. 反刍
warbler,n. 莺
successive,adj. 连续的
contiguous,adj. 毗邻的
counsel,n. 委员会
allot,v. 分配
swamp,v. 使...人满为患，使...应接不暇；n. 沼泽
mix,v. 混合；n. 混合物
operate,v. 操作，运转，起作用，营业
stencil,n. [用模板印的] 图案
operational,adj. 操作的
papermaking,n. 造纸术
frigid,adj. 寒冷的
merger,n. 合并
parameter,n. 因素
standpoint,n. 立场
decorative,adj. 装饰性的
weathered,adj. 风化的
metabolism,n. 新陈代谢
invade,v. 侵略，大批涌入
overshadow,v. 使…黯然失色
unsustainable,adj. 无法维持的
efficient,adj. 效率高的
crowd,v. 挤；n. 人群
illusory,adj. 虚幻的
neglect,v. 忽视；adj. 忽视的
discord,n. 不一致
slick,n. 浮油；adj. 光滑润泽的
limelight,n. 聚光灯
location,n. 位置
dawn,n. 黎明，开端
measure,v. 测量；n. 程度，措施，标准
process,n. 过程；v. 处理
harpsichord,n. 拨弦键琴
shorebird,n. 岸鸟
mainstream,n. 主流
fusion,n. 熔合
prestigious,adj. 有声望的
structure,n. 结构，建筑；v. 组织
hydrologic,adj. 水文的
paradoxically,adv. 自相矛盾地
discharge,v. 释放
appropriate,adj. 合适的；v. 占用，拨出专款
monumental,adj. 重大的，巨大的，纪念性的
willingness,n. 乐意
extrinsic,adj. 外在的
growl,v. 低声吼叫
disturbed,adj. 不安稳的
enigma,n. 谜
plague,v. 困扰；n. 瘟疫
intentioned,adj. 有意的
generator,n. 发电机
piping,adj. 滚烫的
individual,n. 个体；adj. 单独的，个人的
shift,v. 转移，改变 ；n. 转移，改变
masterpiece,n. 杰作
fame,n. 名气
overgrown,adj. 过度生长的
sample,n. 样品；v. 取样
subsurface,adj. 地下的
dispute,v. 争论；n. 争议
solution,n. 解决办法，溶液
immediate,adj. 立即的，紧邻的，直接的，迫切的
congenital,adj. 先天的
sew,v. 缝合
occasion,n. 场合
athlete,n. 运动员
marking,n. 斑点，标志
wax and wane,.兴衰
efficacious,adj. 有效的
colonial,adj. 殖民地的
motionless,adj. 静止的
nostalgia,n. 怀旧
overestimate,v. 高估
relationship,n. 关系
intricately,adv. 错综复杂地
halt,v. 停止
blacken,v. 使变黑
destructive,adj. 破坏性的
naturally,adv. 自然地
individualism,n. 个人主义，个性特征
redistribution,n. 重新分配
ardent,adj. 热烈的
eggshell,n. 蛋壳
horizontal,adj. 水平的
properly,adj. 正确地 ；adv. 适当地
realist,n. 现实主义者
historically,adv. 历史上
grab,v. 抓住，赶紧做
gel,n. 胶状物
psychologically,adv. 心理上
implausible,adj. 不合情理的
abruptness,n. 唐突
tolerate,v. 忍受
unyielding,adj. 不弯曲的
oscillate,v. 振荡
simplification,n. 简单化
granular,adj. 粒状的
Venus,n. 金星
institution,n. 机构，习俗
sweeping,adj. 一概而论的
clout,n. 势力
resolve,v. 分解，解决
fatty,adj. 脂肪的，富含脂肪的
naive,adj. 幼稚的，天真的
basics,n. 基本原理
violent,adj. 猛烈的
reconsider,v. 重新考虑
impatiently,adv. 不耐烦地
foothold,n. 立足处
compositional,adj. 组成的
dissatisfaction,n. 不满
oven,n. 烤箱
marshy,adj. 沼泽的
champion,v. 支持
adjust,v. 适应，调整
complaint,n. 抱怨
fleck,n. 斑点
overharvesting,n. 过度收获
convincing,adj. 有说服力的
poverty,n. 贫穷
verification,n. 证实
rear,adj. 后部的；n. 后部
noisy,adj. 喧闹的
vastly,adv. 辽阔地
hospitalize,v. 送…入院治疗
inaccurate,adj. 不准确的
handout,n. 讲义
nonexistent,adj. 不存在的
lick,v. 舔
geographical,adj. 地理的，地理学的
sprayer,n. 喷雾器
arguably,adv. 可论证地
stark,adj. 极度的
zone,n. 地带
smear,v. 涂抹
version,n. 版本
gallery,n. 画廊
manufacturing,n. 制造业
mess,v. 把...弄乱
tend,v. 趋向，照料
responsibly,adv. 负责任地
stain,v. 给…染色；adj. 着色的
phased,adj. 分阶段的
mobility,n. 移动能力，灵活性
unfavorable,adj. 不利的
considerable,adj. 相当大的
invisibility,n. 看不见
workplace,n. 工作场所
circuit,n. 电路
endanger,v. 危害
citizenry,n. 公民
degraded,adj. 退化了的
confer,v. 赋予
distinctly,adv. 明显地
spite,n. 不顾
garbage,n. 垃圾，废话
recount,n. 详细叙述 ；v. 重算
continually,adv. 连续地，反复地
whatsoever,adv. 丝毫，pron. 无论什么
ethic,n. 道德准则
bulb,n. 球茎，电灯泡
keystone,n. 拱顶石
seahorse,n. 海马
seashell,n. 海贝壳
genuine,adj. 真正的
normative,adj. 规范的
confused,adj. 困惑的
lubricant,n. 润滑剂
scant,adj. 一丁点的
earn,v. 挣得
adornment,n. 装饰
mercantile,adj. 商业的
strive,v. 力争
weekly,n. 周报 ；adj. 每周的
recess,n. 洞，休息
void,adj. 空的；n. 空白
account,v. 解释，占比；n. 考虑，描述，账目
presentation,n. 展现
predation,n. 捕食
dime,n. 少量的钱
delight,n. 愉快
endorse,v. 认可
workforce,n. 劳动力
nestling,n. 雏鸟
notably,adv. 尤其
stylistic,adj. 风格的
successional,adj. 连续的
recede,v. 后退
commercialize,v. 使…商业化
tuck,v. 卷起
oceanography,n. 海洋学
fullness,n. 满
net,adj. 净的；n. 网
extract,v. 提取
theater,n. 戏剧，剧场
firewood,n. 木柴
aridity,n. 干旱
famine,n. 饥荒
prestige,n. 威望
minimum,adj. 最少的；n. 最少量
mental,adj .内心的 ；adj. 智力的
rural,adj. 农村的
legion,n. 军团
mountainous,adj. 巨大的，多山的
prerequisite,n. 先决条件
responsibility,n. 职责，负责
enlarge,v. 扩大
holy,adj. 神圣的
denounce,v. 谴责
windstorm,n. 暴风
liberty,n. 自由
colossal,adj. 巨大的
shrink,v. 收缩
untouched,adj. 未触动过的
hunger,n. 饥饿
tack,n. 方法
genius,n. 天才，才干
principal,adj. 最重要的
particulate,adj. 微粒的
incorporation,n. 合并
juggle,v. 玩抛接杂耍
painful,adj. 痛苦的
susceptible,adj. 容易受…的影响
biological,adj. 生物的
routine,n. 日常工作；adj. 例行的
thermal,adj. 热的
valuable,adj. 宝贵的
beneath,prep. 在…下方
signify,v. 表明
pronouncement,n. 声明
resettle,v. 重新定居
exportation,n. 出口
snowdrift,n. [被风吹成的] 雪堆
irrational,adj. 不合逻辑的
suite,n. 套
skeleton,n. 骨架，构架
simplicity,n. 简单
prospective,adj. 可能成为的，未来的；n. 预期
fountain,n. 喷水池
punishment,n. 惩罚
webpage,n. 网页
morph,v. 使变形
collide,v. 碰撞
mesh,n. 网；v. 相互协调
boon,n. 好处
principally,adv. 主要地
anecdote,n. 轶事
unsound,adj. 不牢靠的
exertion,n. 行使
acre,n. 英亩
constitute,v. 被视为，构成
survive,v. 存活
semi,n. 半
competitive,adj. 竞争的
loss,n. 损失
provoke,v. 激起
premise,v. 假定
calorie,n. 卡路里
click,v. 点击；n. 发出咔哒声
arrival,n. 出现，到达
geologist,n. 地质学家
structured,adj. 有组织的
confuse,v. 使迷惑
narration,n. 叙述，解说
blacksmith,n. 铁匠
horticultural,adj. 园艺的
knot,n. 缠结
bury,v. 掩埋
purple,n. 紫色；adj. 紫色的
successor,n. 继任者
ancestry,n. 起源
despair,n. 绝望
transgenic,adj. 转基因的
transaction,n. 交易
transmit,v. 传播
tiptoe,n. 脚尖
senior,adj. 毕业年级的，较高的；n. 毕业年级学生
steamship,n. 汽船
luxuriant,adj. 草木茂盛的
responsiveness,n. 反应灵敏
uncharted,adj. 未知的，图上未标明的
healing,n. 痊愈
lagoon,n. 环礁湖
dazzling,adj. 非凡的
homepage,n. 主页
boomtown,n. 繁荣的城市
whence,adv. 由此
entangle,v. 使卷入
monarch,n. 君主
descent,n. 血统
abbreviation,n. 缩写
microclimate,n. [局部地区的] 小气候
length,n. 长度
fancy,adj. 梦幻的，高级的
theoretical,adj. 理论的
reforestation,n. 再造林
compulsorily,adv. 强制地
vegetation,n. 植被
crudely,adv. 粗鲁地
achievement,n. 成就
python,n. 巨蟒
wherever,adv. 在任何地方，pron. 无论在哪
campaign,n. 运动，战役
shellfish,n. 贝类
inborn,adj. 天生的
incense,n. 香
alternate,adj. 交替的；v. 轮流
novice,n. 新手
resource,n. 资源
reasonably,adv. 合理地，尚可
bake,v. 烤
nibble,v. 侵蚀
curiosity,n. 好奇心
pottery,n. 陶器
fidelity,n. 忠诚，精确
flesh,n. 肉；v. 充实
lubricate,v. 使润滑
infuriate,v. 使大怒
preempt,v. 抢先占有
executive,adj. 决策的；n. 经理
subsystem,n. 子系统
infertile,adj. 贫瘠的
terracing,n. 梯田
lynx,n. 猞猁
fiercely,adv. 猛烈地
dispatch,v. 派遣 ；n. 派遣
supplant,v. 取代
illiteracy,n. 文盲
bride,n. 新娘
grasshopper,n. 蚱蜢
recall,v. 想起；n. 召回
detachment,n. 分离
disaffection,n. 不满
ail,v. 使受病痛
microphone,n. 麦克风
brusquely,adv. 唐突地
manifesto,n. 宣言
trombone,n. 长号
prey,n. 猎物；v. 捕食
fist,n. 拳
educate,v. 教育
remind,v. 提醒，使想起
functional,adj. 起作用的，功能上的
vindicate,v. 证明…有理
oxidize,v. 使氧化
neonate,n. 新生儿
effectively,adv. 有成效地，实际上
savanna,n. 稀树草原
conquer,v. 占领
divergence,n. 区别
substitute,n. 代替者
cycling,adj. 循环的；n. 循环
spherical,adj. 球形的
remarkably,adv. 非同寻常地
mortar,n. 研钵
snap,v. 啪的一声断裂
intention,n. 意图
employ,v. 使用，雇用
neuroscience,n. 神经系统科学
impenetrable,adj. 无法穿透的
mathematical,adj. 数学的
original,adj. 原来的，有独创性的
overnight,adv. 一夜
unscrew,v. 从…旋出螺丝
sneaky,adj. 鬼祟的
crust,n. 地壳，硬层
voter,n. 投票人
cohesiveness,n. 凝聚力
vulture,n. 秃鹫
document,v. 记录；n. 文件
theatric,adj. 戏剧的
urchin,n. 海胆
experimentation,n. 实验
studio,n. 摄影棚
display,v. 表现，展览；n. 表现，表演
response,n. 反应
rewrite,v. 改写
captive,adj. 被俘虏的
dreamlike,adj. 如梦的
fictional,adj. 虚构的，小说的
closely,adv. 接近地，仔细地
disk,n. 圆盘；v. 用圆盘耙耕
sunset,n. 日落
biologist,n. 生物学家
Democratic,adj. 民主党的，民主制度的，平等的
superb,adj. 极好的
variously,adv. 多方面地
meaningful,adj. 有意义的
weave,v. 织
mathematic,adj. 数学的
alkali,n. 碱
monthly,adj. 每月一次的
attendant,n. 陪伴者
herbaceous,adj. 草本的
dwindle,v. 逐渐减少
strategy,n. 策略
fatal,adj. 致命的
harmonious,adj. 和谐的
fertility,n. 繁殖力，肥沃
conserve,v. 节省，保存
mainland,n. 大陆
aged,adj. …岁的...
constant,adj. 持续的，不变的
pristine,adj. 全新的，原始的
inspect,v. 检查
receptiveness,n. 乐于接受
advertise,v. 为…做广告，显示
hybrid,n. 杂交动物/植物；adj. 杂种的
swell,v. 增长，膨胀
accustomed,adj. 习惯于某事
reality,n. 现实
speculator,n. 思索者
tub,n. 盆，桶
boil,v. 烧开，
lime,n. 石灰
wealthy,adj. 富裕的
consistently,adv. 一贯地
flush,adj. 完全齐平的；v. 把…从隐蔽处赶出，冲洗
hike,n. 远足，大幅度上升
glider,n. 滑翔者
amazing,adj. 使人十分惊奇的
intergranular,adj. 颗粒间的
souk,n. 露天市场
outcome,n. 结果
caution,n. 谨慎，警告
numeric,adj. 数字的
repay,v. 偿还
constrict,v. 收缩
invasion,n. 大批涌入，侵略
runaway,adj. 失控的
auditorium,n. 礼堂
generalization,n. 概括
pregnancy,n. 怀孕
predate,v. 早于
vocabulary,n. 词汇
scattered,adj. 分散的
content,n. 含量，内容，容纳的东西；v. 使满意；adj. 满意的
bulge,n. 凸起；v. 鼓起
rocket,n. 火箭
fauna,n. [某地区或某时期的] 动物群
laboratory,n. 实验室
fling,v. 猛冲
aeration,n. 通风
gasp,n. 喘气
intermediary,adj. 中介的；n. 中间人
suburb,n. 郊区
glorious,adj. 光荣
circulatory,adj. 血液循环的
ideologically,adv. 意识形态上
brownish,adj. 近棕色的
gecko,n. 壁虎
feedback,n. 反馈
overabundance,n. 过多
acoustic,adj. 音响的，听觉的，原声的
partial,adj. 部分的
aside,adv. 向旁边
depress,v. 压下
potential,adj. 潜在的；n. 潜力，电势
aria,n. 咏叹调
probe,n. 探测仪，探针；v. 调查
smoky,adj. 烟雾弥漫的
nontarget,n. 非目标
greatly,adv. 非常地
unspecific,adj. 未确定的
liberate,v. 解放
tutelage,v. 指导
obstruction,v. 妨碍
vantage,n. 有利视角
resistance,n. 阻力，抵抗
susceptibility,adj. 易受感染
curious,adj. 稀奇古怪的 ，好奇的
warehouse,n. 仓库
meticulously,adv. 非常仔细地
authentic,adj. 真实的
predictive,adj. 预测的
wholeness,n. 完整
broom,n. 扫帚
shareholder,n. 股东
bio,adj. 生物的
exodus,n. 离开
regularly,adv. 经常地，有规律地，均匀地
analyst,n. 分析师
worn,adj. 磨损的
perceptive,adj. 反应敏锐的
adaptive,adj. 适应的
visually,adv. 视觉上
settler,n. 移民
housing,n. 住房
motion,n. 运动
dirt,n. 尘垢
foster,v. 培养
entice,v. 引诱
nomadism,n. 游牧生活
infinitely,adv. 无限地
carcass,n. 尸体
biologically,adv. 在生物方面
teat,n. 奶嘴
ashore,adv. 在岸上
objectify,v. 具体化
investigate,v. 调查
nonelite,n. 非精英
stagnate,v. 停滞
illumination,n. 照明
bolster,v. 增强
separately,adv. 分别地
heroine,n. 女主角
permeate,v. 渗透
wireless,adj. 无线的
atomic,adj. 原子的
maintain,v. 坚持，保养
recalculate,v. 重新计算
privilege,n. 荣幸，特权；v. 给予…特权
logger,n. 伐木工人
revitalize,v. 使恢复元气
mediocre,adj. 普通的
explanatory,adj. 解释的
unreasonable,adj. 不合理的
shrinkage,n. 收缩
sweat,v. 流汗
conservatory,n. 古典音乐戏剧学院
economically,adv. 在经济上，经济地
northerly,adv. 向北的
comprise,v. 由…构成
journey,n. 旅行
interdependent,adj. 相互依赖的
magnet,n. 磁铁
heroic,adj. 英勇的
eminent,adj. 名声显赫的
exhibit,v. 表现出，展出；n. 展览
inevitable,adj. 难以避免的
disagree,v. 不同意
undoubtedly,adv. 毫无疑问地
ruin,v. 毁坏
substantially,adv. 可观的
vary,v. 变化，相异
transformation,n. 变化
analyzer,n. 分析器
fledged,adj. 成熟的，合格的
detector,n. 探测器
promptly,adv. 迅速地，立即
newborn,n. 兽崽；adj. 新生的
expand,v. 扩大
identically,adv. 相同地
heated,adj. 激烈的，加温的
gravitational,adj. 引力的
asteroid,n. 小行星
accordingly,adv. 相应地
skim,v. 掠过
abrupt,adj. 突然的
permit,v. 准许；n. 许可
psychology,n. 心理学
endow,v. 赋予
devote,v. 奉献，把…专用于
venom,n. 毒液
hillside,n. 小山坡
domination,n. 统治
segment,n. 部分，部门，体节；v. 分割
accompany,v. 陪同，为…伴奏
reserve,v. 预订，储备
counterpart,n. 对应物
persistence,n. 持续
bust,n. 爆裂，半身雕像
granite,n. 花岗岩
crustal,adj. 地壳的，外壳的
district,n. 区域
commend,v. 称赞
argue,v. 主张，争论
multimedia,adj. 多媒体的
racer,n. 参赛者
lengthy,adj. 长时间的
observational,adj. 观察的
reviewer,n. 评论者
wag,v. 摇摆
performance,n. 表演
condensation,n. 凝结
revolve,v. 旋转
recruitment,n. 征兵
suffice,v. 使满足
nonaggressive,n. 非侵略性
graceful,adj. 优雅的
meteorite,n. 陨石
precious,adj. 珍贵的
sect,n. 教派
intervention,n. 干涉
fumigate,v. (为消毒或灭虫)熏蒸
urban,adj. 城市的
mathematics,n. 数学
supplemental,adj. 补足的
crack,n. 裂缝；v. 裂开
means,n. 方法
igneous,adj. 火成的，火山的
sustainability,n. 持续性
fossilization,n. 化石化
migratory,adj. 迁徙的
odds,n. 可能性
clockwise,adv. 顺时针方向地；adj. 顺时针的
heredity,n. 遗传
semisolid,adj. 半固体的
idle,v. 无所事事
armed,adj. 武装的
gallop,v. 飞奔
artery,n. 动脉
misleadingness,n. 误导
nugget,n. 小块
jaguar,n. 美洲豹
morality,n. 道德规范
henceforth,adv. 从此以后
pipe,n. 管子
freshness,n. 新鲜
plunge,v. 下沉，陷入
lifeless,adj. 无生命的
evoke,v. 唤起
geographic,adj. 地理的，地理学的
complicated,adj. 复杂的
deafening,adj. 震耳欲聋的
ineffective,adj. 无效的
overflow,n. 溢出
expressiveness,n. 富有表现力
depressing,adj. 令人沮丧的
shroud,v. 笼罩
cache,n. 贮藏处；v. 贮藏
fuzzy,adj. 模糊不清的，毛茸茸的
gravitation,n. 万有引力
cramped,adj. 狭小的
drown,v. 压过，淹没
compel,v. 强迫
deciduous,adj. 每年落叶的
typify,v. 成为…的特征
